Time,i-c1.S,i-c1.E,i-c1.P,i-c1.Iu,i-c1.Ic,i-c1.Ru,i-c1.Rc,i-c1.D,i-c1.cases,i-c1.Phase
241.800000,59955860.217915,13278.490315,3711.020321,14251.557363,7032.669726,221857.535848,215497.198295,30339.310218,237440.857044,3.000000
241.900000,59955748.539159,13060.912261,3671.137213,14334.832289,7104.917988,221991.892394,215563.641475,30352.127222,237583.789539,3.000000
242.000000,59955636.113132,12849.444930,3629.946075,14412.442347,7177.248037,222127.005380,215630.764214,30365.035885,237727.526758,3.000000
242.100000,59955522.969351,12643.908274,3587.714724,14484.383633,7249.602650,222262.821516,215698.567014,30378.032839,237872.012009,3.000000
242.200000,59955409.137385,12444.126639,3544.681245,14550.677351,7321.925257,222399.287596,215767.049843,30391.114684,238017.188690,3.000000
242.300000,59955294.646752,12249.928760,3501.056927,14611.366516,7394.160178,222536.350718,215836.212140,30404.278008,238163.000522,3.000000
242.400000,59955179.526833,12061.147738,3457.028919,14666.513009,7466.252805,222673.958473,215906.052825,30417.519398,238309.391751,3.000000
242.500000,59955063.806790,11877.621010,3412.762630,14716.194924,7538.149775,222812.059111,215976.570312,30430.835449,238456.307323,3.000000
242.600000,59954947.515501,11699.190308,3368.403905,14760.504209,7609.799100,222950.601684,216047.762518,30444.222775,238603.693039,3.000000
242.700000,59954830.681501,11525.701610,3324.080986,14799.544553,7681.150288,223089.536162,216119.626880,30457.678020,238751.495675,3.000000
242.800000,59954713.332933,11357.005086,3279.906291,14833.429496,7752.154428,223228.813538,216192.160365,30471.197862,238899.663097,3.000000
242.900000,59954595.497504,11192.955038,3235.978017,14862.280747,7822.764267,223368.385914,216265.359491,30484.779022,239048.144347,3.000000
243.000000,59954477.202450,11033.409827,3192.381593,14886.226691,7892.934271,223508.206564,216339.220338,30498.418267,239196.889720,3.000000
243.100000,59954358.474504,10878.231812,3149.190991,14905.401056,7962.620659,223648.229997,216413.738567,30512.112415,239345.850819,3.000000
243.200000,59954239.339875,10727.287267,3106.469913,14919.941730,8031.781441,223788.411999,216488.909434,30525.858343,239494.980608,3.000000
243.300000,59954119.824222,10580.446310,3064.272856,14929.989718,8100.376432,223928.709668,216564.727810,30539.652984,239644.233447,3.000000
243.400000,59953999.952643,10437.582824,3022.646086,14935.688216,8168.367263,224069.081436,216641.188198,30553.493335,239793.565116,3.000000
243.500000,59953879.749661,10298.574371,2981.628503,14937.181796,8235.717378,224209.487092,216718.284746,30567.376454,239942.932835,3.000000
243.600000,59953759.239213,10163.302115,2941.252436,14934.615691,8302.392025,224349.887784,216796.011269,30581.299468,240092.295273,3.000000
243.700000,59953638.444647,10031.650739,2901.544347,14928.135164,8368.358248,224490.246026,216874.361262,30595.259568,240241.612552,3.000000
243.800000,59953517.388716,9903.508358,2862.525476,14917.884957,8433.584860,224630.525699,216953.327920,30609.254014,240390.846246,3.000000
243.900000,59953396.093579,9778.766440,2824.212419,14904.008820,8498.042418,224770.692036,217032.904152,30623.280136,240539.959371,3.000000
244.000000,59953274.580799,9657.319719,2786.617646,14886.649091,8561.703199,224910.711617,217113.082599,30637.335329,240688.916372,3.000000
244.100000,59953152.871347,9539.066114,2749.749975,14865.946340,8624.541163,225050.552353,217193.855648,30651.417060,240837.683112,3.000000
244.200000,59953030.985607,9423.906644,2713.614990,14842.039064,8686.531917,225190.183464,217275.215451,30665.522863,240986.226848,3.000000
244.300000,59952908.943377,9311.745352,2678.215424,14815.063429,8747.652678,225329.575464,217357.153936,30679.650341,241134.516209,3.000000
244.400000,59952786.763881,9202.489216,2643.551503,14785.153046,8807.882232,225468.700134,217439.662825,30693.797164,241282.521178,3.000000
244.500000,59952664.465772,9096.048075,2609.621249,14752.438794,8867.200893,225607.530499,217522.733649,30707.961069,241430.213055,3.000000
244.600000,59952542.067144,8992.334548,2576.420763,14717.048667,8925.590458,225746.040800,217606.357758,30722.139862,241577.564439,3.000000
244.700000,59952419.585537,8891.263959,2543.944466,14679.107653,8983.034166,225884.206468,217690.526341,30736.331410,241724.549192,3.000000
244.800000,59952297.037950,8792.754256,2512.185330,14638.737642,9039.516648,226022.004094,217775.230434,30750.533647,241871.142411,3.000000
244.900000,59952174.440848,8696.725940,2481.135072,14596.057347,9095.023888,226159.411400,217860.460935,30764.744571,242017.320396,3.000000
245.000000,59952051.810174,8603.101992,2450.784336,14551.182259,9149.543173,226296.407210,217946.208616,30778.962240,242163.060620,3.000000
245.100000,59951929.161361,8511.807798,2421.122851,14504.224608,9203.063053,226432.971417,218032.464137,30793.184776,242308.341691,3.000000
245.200000,59951806.509341,8422.771081,2392.139578,14455.293345,9255.573288,226569.084955,218119.218054,30807.410359,242453.143328,3.000000
245.300000,59951683.868556,8335.921833,2363.822835,14404.494139,9307.064810,226704.729767,218206.460834,30821.637226,242597.446318,3.000000
245.400000,59951561.252972,8251.192246,2336.160413,14351.929382,9357.529678,226839.888771,218294.182863,30835.863675,242741.232494,3.000000
245.500000,59951438.676088,8168.516647,2309.139675,14297.698208,9406.961029,226974.545837,218382.374458,30850.088058,242884.484691,3.000000
245.600000,59951316.150946,8087.831434,2282.747652,14241.896520,9455.353044,227108.685748,218471.025876,30864.308781,243027.186724,3.000000
245.700000,59951193.690147,8009.075013,2256.971118,14184.617023,9502.700895,227242.294176,218560.127324,30878.524305,243169.323350,3.000000
245.800000,59951071.305859,7932.187738,2231.796665,14125.949269,9549.000712,227375.357648,218649.668967,30892.733142,243310.880235,3.000000
245.900000,59950949.009828,7857.111854,2207.210763,14065.979700,9594.249540,227507.863519,218739.640941,30906.933855,243451.843928,3.000000
246.000000,59950826.813393,7783.791432,2183.199819,14004.791705,9638.445295,227639.799943,218830.033355,30921.125058,243592.201825,3.000000
246.100000,59950704.727493,7712.172322,2159.750223,13942.465674,9681.586732,227771.155843,218920.836304,30935.305410,243731.942144,3.000000
246.200000,59950582.762678,7642.202092,2136.848395,13879.079057,9723.673402,227901.920883,219012.039875,30949.473619,243871.053889,3.000000
246.300000,59950460.929123,7573.829977,2114.480816,13814.706431,9764.705617,228032.085444,219103.634153,30963.628439,244009.526827,3.000000
246.400000,59950339.236637,7507.006827,2092.634069,13749.419561,9804.684416,228161.640594,219195.609232,30977.768666,244147.351454,3.000000
246.500000,59950217.694672,7441.685057,2071.294862,13683.287467,9843.611525,228290.578061,219287.955216,30991.893142,244284.518972,3.000000
246.600000,59950096.312336,7377.818598,2050.450053,13616.376495,9881.489329,228418.890211,219380.662231,31006.000748,244421.021259,3.000000
246.700000,59949975.098402,7315.362850,2030.086675,13548.750384,9918.320835,228546.570021,219473.720425,31020.090408,244556.850845,3.000000
246.800000,59949854.061316,7254.274636,2010.191949,13480.470334,9954.109643,228673.611057,219567.119982,31034.161084,244692.000882,3.000000
246.900000,59949733.209210,7194.512157,1990.753301,13411.595082,9988.859912,228800.007445,219660.851117,31048.211777,244826.465125,3.000000
247.000000,59949612.549907,7136.034947,1971.758379,13342.180963,10022.576334,228925.753856,219754.904091,31062.241525,244960.237902,3.000000
247.100000,59949492.090936,7078.803835,1953.195055,13272.281986,10055.264103,229050.845476,219849.269208,31076.249402,245093.314094,3.000000
247.200000,59949371.839537,7022.780900,1935.051440,13201.949902,10086.928888,229175.277991,219943.936826,31090.234516,245225.689110,3.000000
247.300000,59949251.802670,6967.929434,1917.315891,13131.234272,10117.576803,229299.047562,220038.897356,31104.196012,245357.358866,3.000000
